Month,Sales
1959-01,292
1959-02,289.9
1959-03,290.2
1959-04,292.5
1959-05,292.5
1959-06,294.8
1959-07,296.7
1959-08,297
1959-09,298.2
1959-10,298.9
1959-11,299.8
1959-12,302.5
1960-01,303.4
1960-02,300.5
1960-03,300.2
1960-04,302.5
1960-05,301.1
1960-06,303.1
1960-07,305.9
1960-08,307.7
1960-09,310.4
1960-10,312.6
1960-11,314.3
1960-12,318
1961-01,320.5
1961-02,320
1961-03,320.8
1961-04,324.3
1961-05,324.5
1961-06,327.6
1961-07,330.1
1961-08,331.1
1961-09,334.1
1961-10,336.8
1961-11,339.3
1961-12,343.7
1962-01,346.5
1962-02,346.2
1962-03,348.5
1962-04,352.7
1962-05,352.1
1962-06,355
1962-07,357.4
1962-08,358.3
1962-09,361.6
1962-10,365.4
1962-11,368.3
1962-12,374.1
1963-01,378
1963-02,377.3
1963-03,379.5
1963-04,383.9
1963-05,383.9
1963-06,387.4
1963-07,390.9
1963-08,392.5
1963-09,396.1
1963-10,400.2
1963-11,404.1
1963-12,408.7
1964-01,412.7
1964-02,411.4
1964-03,412.9
1964-04,416.9
1964-05,416.5
1964-06,420.8
1964-07,424.9
1964-08,427
1964-09,431.8
1964-10,436.3
1964-11,439.7
1964-12,445.5
1965-01,450.5
1965-02,448.9
1965-03,451.3
1965-04,455.7
1965-05,453.7
1965-06,458.5
1965-07,462.6
1965-08,464.5
1965-09,469.8
1965-10,475.4
1965-11,478.7
1965-12,485.6
1966-01,490.1
1966-02,487.2
1966-03,489.9
1966-04,495.4
1966-05,492.3
1966-06,495.7
1966-07,497.3
1966-08,497.6
1966-09,501.3
1966-10,502.1
1966-11,502.5
1966-12,508.7
1967-01,513.7
1967-02,513.1
1967-03,518.7
1967-04,523.8
1967-05,524.6
1967-06,532.1
1967-07,537.4
1967-08,540.9
1967-09,546.3
1967-10,550.9
1967-11,554.2
1967-12,560.9
1968-01,562.6
1968-02,561.5
1968-03,565.5
1968-04,570.6
1968-05,569.3
1968-06,575.4
1968-07,580.7
1968-08,584.5
1968-09,590.2
1968-10,596.5
1968-11,601.9
1968-12,610.1
1969-01,612.1
1969-02,606.3
1969-03,609
1969-04,613.3
1969-05,608.9
1969-06,612.1
1969-07,610.7
1969-08,606.7
1969-09,608.1
1969-10,609.4
1969-11,613.1
1969-12,618.3
1970-01,618.3
1970-02,610.4
1970-03,615.8
1970-04,624.3
1970-05,623.8
1970-06,629.1
1970-07,637.2
1970-08,643.6
1970-09,652.8
1970-10,660.6
1970-11,666.5
1970-12,678.3
1971-01,688.5
1971-02,692.7
1971-03,706.3
1971-04,718.9
1971-05,722.8
1971-06,732.2
1971-07,739.9
1971-08,743.2
1971-09,750.1
1971-10,758.4
1971-11,765
1971-12,776.7
1972-01,786.2
1972-02,789.3
1972-03,800.6
1972-04,813.2
1972-05,815.5
1972-06,827.2
1972-07,837.9
1972-08,846.2
1972-09,854.9
1972-10,863.7
1972-11,872
1972-12,886.4
1973-01,897.9
1973-02,901.8
1973-03,914.8
1973-04,927.9
1973-05,931.7
1973-06,943.7
1973-07,953.3
1973-08,959.6
1973-09,965.1
1973-10,970.4
1973-11,973.9
1973-12,985.4
1974-01,994.8
1974-02,997.3
1974-03,1010.1
1974-04,1025.8
1974-05,1028.6
1974-06,1040.5
1974-07,1047.6
1974-08,1049.8
1974-09,1053
1974-10,1057.6
1974-11,1060.9
1974-12,1071.3
1975-01,1077.1
1975-02,1076.7
1975-03,1089.1
1975-04,1101.2
1975-05,1105.4
1975-06,1121.7
1975-07,1132.3
1975-08,1136
1975-09,1144.9
1975-10,1152.2
1975-11,1162.1
1975-12,1173.9
1976-01,1183.6
1976-02,1187.3
1976-03,1202.7
1976-04,1222.3
1976-05,1227.2
1976-06,1238.6
1976-07,1250.7
1976-08,1259.2
1976-09,1267.5
1976-10,1281.2
1976-11,1292.6
1976-12,1314.4
1977-01,1325.3
1977-02,1328.4
1977-03,1346
1977-04,1367
1977-05,1372
1977-06,1389.1
1977-07,1406
1977-08,1414.8
1977-09,1427.6
1977-10,1443.6
1977-11,1457.1
1977-12,1477.1
1978-01,1489.6
1978-02,1490.4
1978-03,1510.5
1978-04,1533.8
1978-05,1539.5
1978-06,1554.5
1978-07,1572.1
1978-08,1582.8
1978-09,1597.8
1978-10,1613.4
1978-11,1631.3
1978-12,1653.3
1979-01,1661.1
1979-02,1662.1
1979-03,1680.5
1979-04,1703.6
1979-05,1703.4
1979-06,1724.2
1979-07,1745.7
1979-08,1760.3
1979-09,1781.7
1979-10,1795.9
1979-11,1797.6
1979-12,1811.4
1980-01,1821.7
1980-02,1830.7
1980-03,1843.8
1980-04,1852.4
1980-05,1854.1
1980-06,1875.4
1980-07,1900.7
1980-08,1918
1980-09,1930.2
1980-10,1951.2
1980-11,1973.8
1980-12,1994.9
1981-01,2016.4
1981-02,2024.2
1981-03,2045.9
1981-04,2078.2
1981-05,2083.4
1981-06,2101.8
1981-07,2129.1
1981-08,2150.7
1981-09,2169.2
1981-10,2192.6
1981-11,2215.2
1981-12,2241.6
1982-01,2261.8
1982-02,2259.9
1982-03,2282.1
1982-04,2312
1982-05,2315.9
1982-06,2335.6
1982-07,2354.6
1982-08,2380.3
1982-09,2396.6
1982-10,2421.6
1982-11,2436.7
1982-12,2450.6
1983-01,2479
1983-02,2495.1
1983-03,2518.9
1983-04,2545.3
1983-05,2549.4
1983-06,2574.1
1983-07,2591.9
1983-08,2605.8
1983-09,2622.5
1983-10,2645.3
1983-11,2677.3
1983-12,2703.5
1984-01,2717.8
1984-02,2729.8
1984-03,2761.5
1984-04,2793.5
1984-05,2805.7
1984-06,2832.3
1984-07,2858.8
1984-08,2873.9
1984-09,2893.3
1984-10,2920.3
1984-11,2954
1984-12,2991.4
1985-01,3011.7
1985-02,3017.1
1985-03,3036.8
1985-04,3049.2
1985-05,3054.8
1985-06,3089
1985-07,3102.4
1985-08,3118.7
1985-09,3140
1985-10,3159.2
1985-11,3181.1
1985-12,3210.5
1986-01,3233
1986-02,3234.2
1986-03,3266.1
1986-04,3303.3
1986-05,3309.8
1986-06,3343.9
1986-07,3376
1986-08,3400.7
1986-09,3426.6
1986-10,3448.3
1986-11,3470.4
1986-12,3507.2
1987-01,3527.3
1987-02,3512.3
1987-03,3526.2
1987-04,3544.9
1987-05,3552.8
1987-06,3578
1987-07,3586.8
1987-08,3603.2
1987-09,3618.8
1987-10,3643.3
1987-11,3665.4
1987-12,3679
1988-01,3699.3
1988-02,3708
1988-03,3737.4
1988-04,3771.6
1988-05,3767.3
1988-06,3795.2
1988-07,3831.2
1988-08,3844.9
1988-09,3852
1988-10,3867.4
1988-11,3896.9
1988-12,3921.4
1989-01,3931.6
1989-02,3921.7
1989-03,3951.1
1989-04,3965.7
1989-05,3944.3
1989-06,3974.1
1989-07,3995.1
1989-08,4001.2
1989-09,3998.8
1989-10,4025.2
1989-11,4048.4
1989-12,4067
1990-01,4067.8
1990-02,4061.5
1990-03,4075.8
1990-04,4090.8
1990-05,4064.3
1990-06,4080.8
1990-07,4091.4
1990-08,4108.3
1990-09,4106.9
1990-10,4107.3
1990-11,4118.2
1990-12,4126.6
1991-01,4130.7
1991-02,4148.5
1991-03,4168.1
1991-04,4178.8
1991-05,4152.5
1991-06,4158.8
1991-07,4152.2
1991-08,4151.8
1991-09,4137.1
1991-10,4142.1
1991-11,4160.2
1991-12,4185
1992-01,4185.6
1992-02,4193
