Full timeframe:
1960-01-01     8811.294517
1960-02-01    12176.695055
1960-03-01    14607.095327
1960-04-01    14825.625693
1960-05-01    14033.129882
1960-06-01     9673.151029
1960-07-01     8408.532904
1960-08-01     7186.971799
1960-09-01     9735.210166
1960-10-01     9553.051269
1960-11-01     8628.349848
1960-12-01     6676.079554
1961-01-01     9131.736174
1961-02-01    12727.298040
1961-03-01    15026.144405
1961-04-01    14970.579819
1961-05-01    14462.387915
1961-06-01     9894.458534
1961-07-01     8923.972316
1961-08-01     7448.871875
1961-09-01    10195.136231
1961-10-01    10006.042523
1961-11-01     9734.203336
1961-12-01     7556.351648
1962-01-01    11054.612394
1962-02-01    14914.365369
1962-03-01    17957.573363
1962-04-01    18632.280248
1962-05-01    17804.933062
1962-06-01    12496.108753
                  ...     
1966-07-01    12294.251663
1966-08-01    11018.140401
1966-09-01    17639.805104
1966-10-01    17821.125141
1966-11-01    15158.347969
1966-12-01    13510.958934
1967-01-01    14175.898506
1967-02-01    19863.871680
1967-03-01    23416.862340
1967-04-01    22978.778276
1967-05-01    21101.166352
1967-06-01    15930.351667
1967-07-01    13114.726878
1967-08-01    11126.950945
1967-09-01    16668.871233
1967-10-01    17653.623221
1967-11-01    14682.014151
1967-12-01    12761.735268
1968-01-01    13580.930160
1968-02-01    21382.413202
1968-03-01    23266.921349
1968-04-01    24558.231140
1968-05-01    22633.653317
1968-06-01    15987.282121
1968-07-01    14424.314785
1968-08-01    13233.491482
1968-09-01    18358.658551
1968-10-01    19562.332529
1968-11-01    16190.245800
1968-12-01    14269.208725
Freq: MS, dtype: float64

------------------------

Partial timeframe:
1969-01-01    14450.990668
1969-02-01    23601.134139
1969-03-01    27912.817058
1969-04-01    18138.519503
1969-05-01    13899.446485
1969-06-01    19210.681415
1969-07-01    14819.794889
1969-08-01    23689.922382
1969-09-01    28801.751599
1969-10-01    18988.181470
1969-11-01    14419.225619
1969-12-01    18994.781880
dtype: float64

------------------------

RMSE = 2845.8409353103766
