Full timeframe:
2001-02-01    12.000000
2001-03-01    13.700000
2001-04-01    15.160000
2001-05-01    15.228000
2001-06-01    15.242400
2001-07-01    16.893920
2001-08-01    18.415136
2001-09-01    18.992109
2001-10-01    19.893687
2001-11-01    21.514950
2001-12-01    22.011960
2002-01-01    20.709568
2002-02-01    20.027654
2002-03-01    21.082123
2002-04-01    21.865699
2002-05-01    24.792559
2002-06-01    27.134047
2002-07-01    27.627238
2002-08-01    28.201790
2002-09-01    28.161432
2002-10-01    27.729146
2002-11-01    26.483317
2002-12-01    25.126653
2003-01-01    23.901323
2003-02-01    22.321058
2003-03-01    21.996846
2003-04-01    22.897477
2003-05-01    24.437982
2003-06-01    26.010385
2003-07-01    26.708308
2003-08-01    27.026647
2003-09-01    27.881317
2003-10-01    28.745054
2003-11-01    28.276043
2003-12-01    27.300834
2004-01-01    25.120668
2004-02-01    25.120668
2004-03-01    25.120668
2004-04-01    25.120668
2004-05-01    25.120668
dtype: float64

------------------------

Partial timeframe:
2004-01-01    25.120668
2004-02-01    25.120668
2004-03-01    25.120668
2004-04-01    25.120668
2004-05-01    25.120668
dtype: float64

------------------------

RMSE = 6.206538865045033
