Month,Sales
1960-02,7191
1960-03,7239
1960-04,7228
1960-05,7160
1960-06,7193
1960-07,7187
1960-08,7209
1960-09,7241
1960-10,7315
1960-11,7366
1960-12,7401
1961-01,7341
1961-02,7385
1961-03,7401
1961-04,7388
1961-05,7294
1961-06,7301
1961-07,7298
1961-08,7359
1961-09,7438
1961-10,7542
1961-11,7634
1961-12,7753
1962-01,7805
1962-02,7869
1962-03,7915
1962-04,7906
1962-05,7815
1962-06,7845
1962-07,7901
1962-08,7956
1962-09,8027
1962-10,8155
1962-11,8237
1962-12,8367
1963-01,8430
1963-02,8498
1963-03,8542
1963-04,8532
1963-05,8471
1963-06,8517
1963-07,8599
1963-08,8658
1963-09,8752
1963-10,8907
1963-11,9063
1963-12,9242
1964-01,9339
1964-02,9429
1964-03,9541
1964-04,9544
1964-05,9477
1964-06,9556
1964-07,9656
1964-08,9734
1964-09,9880
1964-10,9992
1964-11,10142
1964-12,10313
1965-01,10300
1965-02,10439
1965-03,10488
1965-04,10404
1965-05,10288
1965-06,10337
1965-07,10320
1965-08,10378
1965-09,10458
1965-10,10560
1965-11,10690
1965-12,10846
1966-01,10875
1966-02,11052
1966-03,11000
1966-04,10963
1966-05,10877
1966-06,10938
1966-07,10981
1966-08,11105
1966-09,11218
1966-10,11356
1966-11,11518
1966-12,11686
1967-01,11706
1967-02,11830
1967-03,11895
1967-04,11770
1967-05,11747
1967-06,11824
1967-07,11902
1967-08,12020
1967-09,12155
1967-10,12312
1967-11,12506
1967-12,12739
1968-01,12802
1968-02,12801
1968-03,12824
1968-04,12771
1968-05,12684
1968-06,12805
1968-07,12878
1968-08,12955
1968-09,13096
1968-10,13272
1968-11,13423
1968-12,13635
1969-01,13757
1969-02,13869
1969-03,13930
1969-04,13931
1969-05,13883
1969-06,13974
1969-07,14056
1969-08,14154
1969-09,14267
1969-10,14475
1969-11,14705
1969-12,14934
1970-01,14882
1970-02,14976
1970-03,15106
1970-04,14991
1970-05,14860
1970-06,14837
1970-07,14858
1970-08,14884
1970-09,15038
1970-10,15221
1970-11,15427
1970-12,15698
1971-01,15648
1971-02,15806
1971-03,15909
1971-04,15868
1971-05,15767
1971-06,15852
1971-07,15860
1971-08,16060
1971-09,16350
1971-10,16526
1971-11,16729
1971-12,17067
1972-01,17189
1972-02,17378
1972-03,17438
1972-04,17516
1972-05,17367
1972-06,17508
1972-07,17827
1972-08,18255
1972-09,18704
1972-10,19281
1972-11,19787
1972-12,20425
1973-01,20800
1973-02,21175
1973-03,21347
1973-04,21600
1973-05,21659
1973-06,22001
1973-08,22915
1973-09,23450
1973-10,23911
1973-11,24149
1973-12,24779
1974-01,24998
1974-02,25377
1974-03,25477
1974-04,25470
1974-05,25242
1974-06,24706
